"","data","praca","classe","web","ifood","call","android","iphone","total","precipitac","tempmax","tempmin","tempmed","umidade","insolacao","diasemana","diasem","mes","desserts","pizzas","beverage","cbmaker","combos","sfiha","kit1","kit2","snack","pastas","dishes","promotion","savory","salads","range","dessert1","desserte","pizzas1","pizzase","beverage1","beveragee","cbmaker1","cbmakere","combos1","combose","sfiha1","sfihae","kit11","kit1e","kit21","kit2e","snack1","snacke","pastas1","pastase","dishes1","dishese","promotion1","promotione","savory1","savorye","salads1","saladse","precipita1","tempmax1","tempmin1","tempmed1","insolacao1","umidade1"
"67","08/03/2018","SAO PAULO",NA,0,0,0,0,0,52188,0,23.8,20.2,21.44,86.5,0,"TUR",1,2,2676,213,1533,0,1448,33252,25,1,858,465,498,637,10539,43,"Range-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","06/03/2018","SAO PAULO",NA,0,0,0,0,0,44295,22.1,29.8,20.7,24.34,81,6.3,"TUE",1,2,2392,175,1444,0,1065,27564,11,7,779,443,381,439,9559,36,"Range-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","05/03/2018","SAO PAULO",NA,0,0,0,0,0,36101,6.4,31.2,20.4,24.44,77.5,8.5,"MON",1,2,1882,139,1231,1,934,21907,7,0,643,409,356,402,8158,32,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","12/03/2018","SAO PAULO",NA,0,0,0,0,0,38299,0,31.2,20.4,24.64,76.75,8.3,"MON",1,2,2088,134,1336,0,1132,23379,14,3,849,343,349,544,8097,31,"Range-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","11/03/2018","SAO PAULO",NA,0,0,0,0,0,52208,0.4,31,19.3,24.42,70.25,7.1,"SUN",2,2,3998,354,2209,0,3089,27433,41,13,1464,769,754,1042,11004,38,"Range-28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","13/03/2018","SAO PAULO",NA,0,0,0,0,0,35624,42.8,29.3,20.3,23.76,81.5,4.8,"TUE",1,2,1890,134,1177,0,1025,21713,8,7,596,360,322,458,7905,29,"Range-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","14/03/2018","SAO PAULO",NA,0,0,0,0,0,43806,0,33.6,21.6,25.34,72.5,8.9,"WED",1,2,2389,179,1525,0,1291,27659,27,10,794,398,395,657,8433,49,"Range-15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","18/03/2018","SAO PAULO",NA,0,0,0,0,0,60763,0,32,19.7,24.62,74,8.9,"SUN",2,2,4326,1958,2291,0,2667,26249,43,15,1217,740,704,10096,10401,56,"Range-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","20/03/2018","SAO PAULO",NA,0,0,0,0,0,56313,0,31,19.5,23.74,79.25,2.1,"TUE",1,2,2653,1145,1794,0,1281,31524,37,6,741,360,451,5967,10317,37,"Range-17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","19/03/2018","SAO PAULO",NA,0,0,0,0,0,40776,0,31.9,21.4,25.66,78.75,6.4,"MON",1,2,2231,892,1346,0,884,22030,31,6,617,339,378,4487,7492,43,"Range-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
